srcIp,dstIp,srcPort,dstPort,protocol
10.22.16.2,10.10.242.11,56154,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56950,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,49436,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,55253,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53444,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51066,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57777,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57578,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,58384,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,58790,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,57372,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64326,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64222,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,59993,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,58202,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52366,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50080,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,60188,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53328,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,60807,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,55040,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50124,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,62817,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,50979,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,62007,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,59078,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,62610,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,58879,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,63225,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,55017,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,62207,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,65072,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,55033,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64010,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56584,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,63832,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53803,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,65121,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,65041,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,58893,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,54332,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64402,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,65076,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,64985,389,"['ldap', 'tcp']"
