srcIp,dstIp,srcPort,dstPort,protocol
10.62.16.99,10.10.240.99,10050,34420,['tcp']
10.62.16.99,10.10.240.99,10050,35058,['tcp']
10.62.16.99,10.10.240.99,10050,36992,['tcp']
10.62.16.99,10.10.240.99,10050,37782,['tcp']
10.62.16.99,10.10.240.99,10050,44372,['tcp']
10.62.16.99,10.10.240.101,22,59464,['tcp']
10.62.16.99,10.10.240.99,10050,47266,['tcp']
10.62.16.99,10.10.240.99,10050,48208,['tcp']
10.62.16.99,10.10.240.99,10050,48520,['tcp']
srcIp,dstIp,srcPort,dstPort,protocol
10.62.16.98,10.10.240.103,52948,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,52950,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34254,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47230,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47232,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34260,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34258,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34262,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47476,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47232,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,52942,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,52946,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,52952,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34264,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34276,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34460,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47438,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47222,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47224,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47226,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47228,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,52944,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34256,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,52952,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34274,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34270,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34278,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34264,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34456,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34458,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34462,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34464,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47478,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47488,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,53186,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,53188,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,53190,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,53196,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34508,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34510,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34514,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34512,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34516,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47486,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34518,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47484,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47470,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47472,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47474,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,53192,443,"['tcp', 'tls']"
10.62.16.98,10.10.240.103,53194,443,"['tcp', 'tls']"
10.62.16.95,10.10.240.103,34466,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47468,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47436,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47440,443,"['tcp', 'tls']"
10.62.16.97,10.10.240.103,47442,443,"['tcp', 'tls']"
10.62.16.99,10.10.240.101,22,59464,['tcp']
10.62.16.99,10.10.240.99,10050,46150,['tcp']
10.62.16.99,10.10.240.99,10050,45790,['tcp']
