srcIp,dstIp,srcPort,dstPort,protocol
10.22.16.33,10.10.240.125,42086,58625,['tcp']
10.22.16.33,10.10.240.125,49204,48533,['tcp']
10.22.16.33,10.10.240.125,42090,58625,['tcp']
10.22.16.33,10.10.240.125,44892,48533,['tcp']
10.22.16.229,10.10.240.104,42616,12834,['tcp']
10.22.16.33,10.10.240.125,55427,48533,['tcp']
10.22.16.33,10.10.240.125,42096,58625,['tcp']
10.22.16.33,10.10.240.125,40065,48533,['tcp']
10.22.16.33,10.10.240.125,42104,58625,['tcp']
10.22.16.33,10.10.240.125,44950,48533,['tcp']
10.22.16.33,10.10.240.125,40694,48533,['tcp']
10.22.16.237,10.10.240.104,42650,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,42616,58625,['tcp']
10.22.16.33,10.10.240.125,39755,48533,['tcp']
10.22.16.33,10.10.240.125,42624,58625,['tcp']
10.22.16.33,10.10.240.125,42138,58625,['tcp']
10.22.16.33,10.10.240.125,42628,58625,['tcp']
10.22.16.33,10.10.240.125,42140,58625,['tcp']
10.22.16.33,10.10.240.125,42114,58625,['tcp']
10.22.16.33,10.10.240.125,48043,48533,['tcp']
10.22.16.33,10.10.240.125,42116,58625,['tcp']
10.22.16.100,10.10.240.99,58288,10050,['tcp']
10.22.16.33,10.10.240.125,42128,58625,['tcp']
10.22.16.33,10.10.240.125,58698,48533,['tcp']
10.22.16.33,10.10.240.125,42130,58625,['tcp']
10.22.16.33,10.10.240.125,42136,58625,['tcp']
10.22.16.33,10.10.240.125,42626,48533,['tcp']
10.22.16.33,10.10.240.125,42046,58625,['tcp']
10.22.16.33,10.10.240.125,42504,58625,['tcp']
10.22.16.33,10.10.240.125,42506,58625,['tcp']
10.22.16.33,10.10.240.125,47216,48533,['tcp']
10.22.16.33,10.10.240.125,42508,58625,['tcp']
10.22.16.33,10.10.240.125,48029,48533,['tcp']
10.22.16.237,10.10.240.104,35002,12834,"['tcp', 'http2']"
10.22.16.131,10.10.240.104,58464,12834,['tcp']
10.22.16.33,10.10.240.125,42392,58625,['tcp']
10.22.16.33,10.10.240.125,41968,58625,['tcp']
10.22.16.33,10.10.240.125,53719,48533,['tcp']
10.22.16.33,10.10.240.125,42394,58625,['tcp']
10.22.16.30,10.10.240.139,50018,6677,['tcp']
10.22.16.30,10.10.240.139,50038,6677,"['tcp', 'http']"
10.22.16.33,10.10.240.125,42396,58625,['tcp']
10.22.16.30,10.10.240.139,50052,6677,"['tcp', 'http']"
10.22.16.30,10.10.240.139,50056,6677,"['tcp', 'http']"
10.22.16.33,10.10.240.125,42400,58625,['tcp']
10.22.16.30,10.10.240.139,50070,6677,"['tcp', 'http']"
10.22.16.30,10.10.240.139,50072,6677,"['tcp', 'http']"
10.22.16.33,10.10.240.125,42402,58625,['tcp']
10.22.16.33,10.10.240.125,42420,58625,['tcp']
10.22.16.33,10.10.240.125,54143,48533,['tcp']
10.22.16.10,10.10.240.254,0,0,['icmp']
10.22.16.33,10.10.240.125,40887,48533,['tcp']
10.22.16.33,10.10.240.125,42100,58625,['tcp']
10.22.16.33,10.10.240.125,42570,58625,['tcp']
10.22.16.33,10.10.240.125,36845,48533,['tcp']
10.22.16.33,10.10.240.125,42108,58625,['tcp']
10.22.16.33,10.10.240.125,45652,48533,['tcp']
10.22.16.33,10.10.240.125,42586,58625,['tcp']
10.22.16.33,10.10.240.125,47766,48533,['tcp']
10.22.16.33,10.10.240.125,42444,58625,['tcp']
10.22.16.33,10.10.240.125,42458,58625,['tcp']
10.22.16.33,10.10.240.125,52447,48533,['tcp']
10.22.25.21,10.10.240.116,52756,3306,"['tcp', 'mysql']"
10.22.16.33,10.10.240.125,42462,58625,['tcp']
10.22.25.21,10.10.240.116,55362,3306,['tcp']
10.22.16.33,10.10.240.125,42430,58625,['tcp']
10.22.25.21,10.10.240.116,52802,3306,"['tcp', 'mysql']"
10.22.15.8,10.10.240.145,34580,80,"['tcp', 'http']"
10.22.25.21,10.10.240.116,52902,3306,['tcp']
10.22.16.33,10.10.240.125,42432,58625,['tcp']
10.22.25.21,10.10.240.125,41974,3306,['tcp']
10.22.16.33,10.10.240.125,42442,58625,['tcp']
10.22.16.33,10.10.240.125,34768,48533,['tcp']
10.22.25.21,10.10.240.116,54138,3306,"['tcp', 'mysql']"
10.22.16.33,10.10.240.125,43638,48533,['tcp']
10.22.16.33,10.10.240.125,42648,58625,['tcp']
10.22.16.33,10.10.240.125,55763,48533,['tcp']
10.22.16.33,10.10.240.125,42656,58625,['tcp']
10.22.16.33,10.10.240.125,42190,58625,['tcp']
10.22.25.21,10.10.240.116,56509,3306,['tcp']
10.22.16.33,10.10.240.125,43966,58625,['tcp']
10.22.16.33,10.10.240.125,43970,58625,['tcp']
10.22.16.33,10.10.240.125,43462,58625,['tcp']
10.22.16.33,10.10.240.125,43972,58625,['tcp']
10.22.16.75,10.10.240.104,55540,12834,"['tcp', 'http2']"
10.22.15.8,10.10.240.119,12345,40294,['tcp']
10.22.15.8,10.10.240.119,12345,40284,['tcp']
10.22.15.8,10.10.240.119,12345,40314,['tcp']
10.22.15.8,10.10.240.119,12345,40318,['tcp']
10.22.15.8,10.10.240.119,12345,40354,['tcp']
10.22.15.8,10.10.240.119,12345,40352,['tcp']
10.22.15.8,10.10.240.119,12345,40310,['tcp']
10.22.15.8,10.10.240.119,12345,40342,['tcp']
10.22.15.8,10.10.240.119,12345,40358,['tcp']
10.22.15.8,10.10.240.119,12345,40362,['tcp']
10.22.15.8,10.10.240.119,12345,40370,['tcp']
10.22.15.8,10.10.240.119,12345,40378,['tcp']
10.22.15.8,10.10.240.119,12345,40380,['tcp']
10.22.15.8,10.10.240.119,12345,40398,['tcp']
10.22.15.8,10.10.240.119,12345,40372,['tcp']
10.22.15.8,10.10.240.119,12345,40382,['tcp']
10.22.15.8,10.10.240.119,12345,40386,['tcp']
10.22.15.8,10.10.240.119,12345,40406,['tcp']
10.22.15.8,10.10.240.119,12345,40430,['tcp']
10.22.15.8,10.10.240.119,12345,40414,['tcp']
10.22.15.8,10.10.240.119,12345,40418,['tcp']
10.22.15.8,10.10.240.119,12345,40472,['tcp']
10.22.15.8,10.10.240.119,12345,40506,['tcp']
10.22.15.8,10.10.240.119,12345,40508,['tcp']
10.22.15.8,10.10.240.119,12345,40522,['tcp']
10.22.15.8,10.10.240.119,12345,40530,['tcp']
10.22.15.8,10.10.240.119,12345,40538,['tcp']
10.22.15.8,10.10.240.119,12345,40458,['tcp']
10.22.15.8,10.10.240.119,12345,40456,['tcp']
10.22.15.8,10.10.240.119,12345,40462,['tcp']
10.22.15.8,10.10.240.119,12345,40464,['tcp']
10.22.15.8,10.10.240.119,12345,40466,['tcp']
10.22.15.8,10.10.240.119,12345,40468,['tcp']
10.22.15.8,10.10.240.119,12345,40476,['tcp']
10.22.15.8,10.10.240.119,12345,40492,['tcp']
10.22.15.8,10.10.240.119,12345,40500,['tcp']
10.22.15.8,10.10.240.119,12345,40560,['tcp']
10.22.15.8,10.10.240.119,12345,40564,['tcp']
10.22.15.8,10.10.240.119,12345,40576,['tcp']
10.22.15.8,10.10.240.119,12345,40578,['tcp']
10.22.15.8,10.10.240.119,12345,40608,['tcp']
10.22.15.8,10.10.240.119,12345,40622,['tcp']
10.22.15.8,10.10.240.119,12345,40628,['tcp']
10.22.15.8,10.10.240.119,12345,40664,['tcp']
10.22.15.8,10.10.240.119,12345,40672,['tcp']
10.22.15.8,10.10.240.119,12345,40556,['tcp']
10.22.15.8,10.10.240.119,12345,40562,['tcp']
10.22.15.8,10.10.240.119,12345,40568,['tcp']
10.22.15.8,10.10.240.119,12345,40580,['tcp']
10.22.15.8,10.10.240.119,12345,40592,['tcp']
10.22.15.8,10.10.240.119,12345,40598,['tcp']
10.22.15.8,10.10.240.119,12345,40612,['tcp']
10.22.15.8,10.10.240.119,12345,40678,['tcp']
10.22.15.8,10.10.240.119,12345,40702,['tcp']
10.22.15.8,10.10.240.119,12345,40708,['tcp']
10.22.15.8,10.10.240.119,12345,40714,['tcp']
10.22.15.8,10.10.240.119,12345,40724,['tcp']
10.22.15.8,10.10.240.119,12345,40738,['tcp']
10.22.15.8,10.10.240.119,12345,40744,['tcp']
10.22.15.8,10.10.240.119,12345,40748,['tcp']
10.22.15.8,10.10.240.119,12345,40772,['tcp']
10.22.15.8,10.10.240.119,12345,40752,['tcp']
10.22.15.8,10.10.240.119,12345,40768,['tcp']
10.22.15.8,10.10.240.119,12345,40778,['tcp']
10.22.15.8,10.10.240.119,12345,40810,['tcp']
10.22.15.8,10.10.240.119,12345,40792,['tcp']
10.22.15.8,10.10.240.119,12345,40802,['tcp']
10.22.15.8,10.10.240.119,12345,40808,['tcp']
10.22.15.8,10.10.240.119,12345,40818,['tcp']
10.22.15.8,10.10.240.119,12345,40822,['tcp']
10.22.15.8,10.10.240.119,12345,40826,['tcp']
10.22.15.8,10.10.240.119,12345,40830,['tcp']
10.22.15.8,10.10.240.119,12345,40850,['tcp']
10.22.15.8,10.10.240.119,12345,40858,['tcp']
10.22.15.8,10.10.240.119,12345,40876,['tcp']
10.22.15.8,10.10.240.119,12345,40878,['tcp']
10.22.15.8,10.10.240.119,12345,40836,['tcp']
10.22.15.8,10.10.240.119,12345,40868,['tcp']
10.22.15.8,10.10.240.119,12345,40872,['tcp']
10.22.15.8,10.10.240.119,12345,40880,['tcp']
10.22.15.8,10.10.240.119,12345,40886,['tcp']
10.22.15.8,10.10.240.119,12345,40908,['tcp']
10.22.15.8,10.10.240.119,12345,40934,['tcp']
10.22.15.8,10.10.240.119,12345,40936,['tcp']
10.22.15.8,10.10.240.119,12345,40946,['tcp']
10.22.15.8,10.10.240.119,12345,40948,['tcp']
10.22.15.8,10.10.240.119,12345,40952,['tcp']
10.22.15.8,10.10.240.119,12345,40966,['tcp']
10.22.15.8,10.10.240.119,12345,40978,['tcp']
10.22.15.8,10.10.240.119,12345,40980,['tcp']
10.22.15.8,10.10.240.119,12345,40982,['tcp']
10.22.15.8,10.10.240.119,12345,41024,['tcp']
10.22.15.8,10.10.240.119,12345,41042,['tcp']
10.22.15.8,10.10.240.119,12345,41046,['tcp']
