srcIp,dstIp,srcPort,dstPort,protocol
10.23.18.80,10.10.240.144,51718,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40046,12834,['tcp']
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40206,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,37488,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,37488,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,51718,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40078,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.144,52602,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40142,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.144,51718,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,37488,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,39912,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,40174,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,40242,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.144,51718,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40012,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,40410,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,40378,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,40344,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,38012,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,52602,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,38012,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,52602,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40472,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40440,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.144,52602,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,58564,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,58564,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,37488,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,39982,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,37488,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40112,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,39948,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,37948,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,51718,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40306,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,59322,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,58796,9092,['tcp']
10.23.18.80,10.10.240.179,40538,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,40506,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,38012,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41702,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,41668,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,53328,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41570,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,38474,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41634,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,59910,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,59910,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41734,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,59910,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41406,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,41438,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,41538,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41902,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,53328,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,44462,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41804,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,41836,12834,['tcp']
10.23.18.80,10.10.240.179,41772,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.144,53328,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,38474,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.144,54264,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41934,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,38474,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.143,38474,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.142,59910,9092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,41868,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.143,38474,9092,"['kafka', 'tcp']"
