srcIp,dstIp,srcPort,dstPort,protocol
10.22.16.33,10.10.240.125,44156,58625,['tcp']
10.22.16.33,10.10.240.125,44158,58625,['tcp']
10.22.16.33,10.10.240.125,39146,48533,['tcp']
10.22.16.33,10.10.240.125,44164,58625,['tcp']
10.22.25.21,10.10.240.116,50598,3306,"['tcp', 'mysql']"
10.22.15.8,10.10.240.145,40304,80,"['tcp', 'http']"
10.22.25.81,10.10.240.99,46912,8086,"['tcp', 'http']"
10.22.25.21,10.10.240.118,59686,8814,"['tcp', 'mysql']"
10.22.25.21,10.10.240.116,50712,3306,"['tcp', 'mysql']"
10.22.25.21,10.10.240.116,50498,3306,"['tcp', 'mysql']"
10.22.25.21,10.10.240.125,38762,3306,"['tcp', 'mysql']"
10.22.16.100,10.10.240.99,54818,10050,['tcp']
10.22.16.33,10.10.240.125,44172,58625,['tcp']
10.22.16.33,10.10.240.125,44178,58625,['tcp']
10.22.25.21,10.10.240.116,50564,3306,"['tcp', 'mysql']"
10.22.16.33,10.10.240.125,43721,48533,['tcp']
10.22.16.237,10.10.240.104,41542,12834,['tcp']
10.22.16.33,10.10.240.125,44184,58625,['tcp']
10.22.16.229,10.10.240.104,33900,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,44198,58625,['tcp']
10.22.16.33,10.10.240.125,44200,58625,['tcp']
10.22.16.33,10.10.240.125,51394,48533,['tcp']
10.22.16.100,10.10.240.99,54822,10050,['tcp']
10.22.16.33,10.10.240.125,44202,58625,['tcp']
10.22.16.33,10.10.240.125,41420,2181,['tcp']
10.22.16.33,10.10.240.124,58898,2181,['tcp']
10.22.16.33,10.10.240.125,52679,48533,['tcp']
10.22.16.33,10.10.240.125,41824,48533,['tcp']
10.22.16.33,10.10.240.125,44220,58625,['tcp']
10.22.16.100,10.10.240.99,54840,10050,['tcp']
10.22.16.33,10.10.240.125,44330,58625,['tcp']
10.22.16.33,10.10.240.125,44332,58625,['tcp']
10.22.16.33,10.10.240.125,34222,48533,['tcp']
10.22.16.33,10.10.240.125,44334,58625,['tcp']
10.22.16.33,10.10.240.125,44338,58625,['tcp']
10.22.16.33,10.10.240.125,44039,48533,['tcp']
10.22.16.33,10.10.240.125,44348,58625,['tcp']
10.22.16.33,10.10.240.125,44159,48533,['tcp']
10.22.16.33,10.10.240.125,44300,58625,['tcp']
10.22.16.33,10.10.240.125,53929,48533,['tcp']
10.22.16.33,10.10.240.125,44312,58625,['tcp']
10.22.16.237,10.10.240.104,35622,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,44314,58625,['tcp']
10.22.16.33,10.10.240.125,44190,58625,['tcp']
10.22.16.33,10.10.240.125,44194,58625,['tcp']
10.22.25.21,10.10.240.116,50586,3306,"['tcp', 'mysql']"
10.22.16.33,10.10.240.125,37551,48533,['tcp']
10.22.16.33,10.10.240.125,44214,58625,['tcp']
10.22.16.33,10.10.240.125,44216,58625,['tcp']
10.22.16.33,10.10.240.125,44218,58625,['tcp']
10.22.16.33,10.10.240.125,44222,58625,['tcp']
10.22.16.33,10.10.240.125,44224,58625,['tcp']
10.22.16.33,10.10.240.125,44226,58625,['tcp']
10.22.16.33,10.10.240.125,44154,58625,['tcp']
10.22.16.33,10.10.240.125,56132,48533,['tcp']
10.22.16.33,10.10.240.125,44180,58625,['tcp']
10.22.16.33,10.10.240.125,44182,58625,['tcp']
10.22.16.33,10.10.240.125,44186,58625,['tcp']
10.22.16.33,10.10.240.125,45554,48533,['tcp']
10.22.16.33,10.10.240.125,44188,58625,['tcp']
10.22.16.33,10.10.240.125,36898,48533,['tcp']
10.22.16.237,10.10.240.104,43370,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,44372,58625,['tcp']
10.22.30.51,10.10.240.142,42442,9092,['tcp']
10.22.16.33,10.10.240.125,32958,48533,['tcp']
10.22.16.33,10.10.240.125,44322,58625,['tcp']
10.22.16.33,10.10.240.125,50815,48533,['tcp']
10.22.16.10,10.10.240.254,0,0,['icmp']
10.22.16.33,10.10.240.125,34967,48533,['tcp']
10.22.25.81,10.10.240.99,46940,8086,"['tcp', 'http']"
10.22.16.33,10.10.240.125,44238,58625,['tcp']
10.22.16.33,10.10.240.125,36383,48533,['tcp']
10.22.16.33,10.10.240.125,44242,58625,['tcp']
10.22.16.33,10.10.240.125,44256,58625,['tcp']
10.22.16.33,10.10.240.125,44284,58625,['tcp']
10.22.16.33,10.10.240.125,44286,58625,['tcp']
10.22.16.33,10.10.240.125,44288,58625,['tcp']
10.22.16.33,10.10.240.125,44294,58625,['tcp']
10.22.16.33,10.10.240.125,50130,48533,['tcp']
10.22.16.33,10.10.240.125,45208,58625,['tcp']
10.22.16.33,10.10.240.125,48592,48533,['tcp']
10.22.16.33,10.10.240.125,45222,58625,['tcp']
10.22.16.33,10.10.240.125,52177,48533,['tcp']
10.22.16.33,10.10.240.125,45224,58625,['tcp']
10.22.16.33,10.10.240.123,55862,2181,['tcp']
10.22.16.33,10.10.240.125,42452,2181,['tcp']
10.22.16.10,10.10.240.254,0,0,['icmp']
10.22.16.33,10.10.240.125,45246,58625,['tcp']
10.22.16.33,10.10.240.125,42688,48533,['tcp']
10.22.16.33,10.10.240.125,45252,58625,['tcp']
10.22.16.33,10.10.240.125,45254,58625,['tcp']
10.22.16.75,10.10.240.104,56896,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,34405,48533,['tcp']
10.22.16.33,10.10.240.125,45256,58625,['tcp']
10.22.16.33,10.10.240.125,45570,48533,['tcp']
10.22.16.33,10.10.240.125,45260,58625,['tcp']
10.22.16.33,10.10.240.125,44564,58625,['tcp']
10.22.16.33,10.10.240.125,45262,58625,['tcp']
10.22.16.33,10.10.240.125,47054,48533,['tcp']
10.22.16.100,10.10.240.99,54880,10050,['tcp']
10.22.16.33,10.10.240.125,45404,58625,['tcp']
10.22.16.33,10.10.240.125,45412,58625,['tcp']
10.22.16.33,10.10.240.125,45418,58625,['tcp']
10.22.16.33,10.10.240.125,50575,48533,['tcp']
10.22.16.33,10.10.240.125,45422,58625,['tcp']
10.22.16.33,10.10.240.125,46778,48533,['tcp']
10.22.16.33,10.10.240.125,45424,58625,['tcp']
10.22.16.33,10.10.240.125,45434,58625,['tcp']
10.22.16.75,10.10.240.104,47176,12834,['tcp']
10.22.16.33,10.10.240.125,38345,48533,['tcp']
10.22.16.33,10.10.240.125,45358,58625,['tcp']
10.22.16.33,10.10.240.125,45368,58625,['tcp']
10.22.16.33,10.10.240.125,57805,48533,['tcp']
10.22.16.33,10.10.240.125,57962,48533,['tcp']
10.22.16.33,10.10.240.123,55918,2181,['tcp']
10.22.16.33,10.10.240.125,50503,48533,['tcp']
10.22.16.33,10.10.240.125,42516,2181,['tcp']
10.22.16.33,10.10.240.124,60000,2181,['tcp']
10.22.16.33,10.10.240.125,45628,48533,['tcp']
10.22.16.33,10.10.240.125,45316,58625,['tcp']
10.22.16.33,10.10.240.125,42522,2181,['tcp']
10.22.16.33,10.10.240.123,55932,2181,['tcp']
10.22.16.33,10.10.240.124,60006,2181,['tcp']
10.22.16.237,10.10.240.104,39334,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,45320,58625,['tcp']
10.22.16.33,10.10.240.125,45326,58625,['tcp']
10.22.16.75,10.10.240.104,49148,12834,"['tcp', 'http2']"
10.22.16.100,10.10.240.99,54936,10050,['tcp']
10.22.16.33,10.10.240.125,45462,58625,['tcp']
10.22.16.33,10.10.240.125,38047,48533,['tcp']
10.22.16.33,10.10.240.125,43583,48533,['tcp']
10.22.16.33,10.10.240.125,38978,48533,['tcp']
10.22.25.81,10.10.240.99,46970,8086,"['tcp', 'http']"
10.22.16.33,10.10.240.125,46721,48533,['tcp']
10.22.16.33,10.10.240.125,45410,58625,['tcp']
10.22.16.75,10.10.240.104,60726,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,45420,58625,['tcp']
10.22.16.226,10.10.240.104,37050,12834,"['tcp', 'http2']"
10.22.16.237,10.10.240.104,41244,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,45226,58625,['tcp']
10.22.16.33,10.10.240.125,46733,48533,['tcp']
10.22.16.33,10.10.240.125,45228,58625,['tcp']
10.22.16.33,10.10.240.125,45236,58625,['tcp']
10.22.16.33,10.10.240.125,54644,48533,['tcp']
10.22.16.33,10.10.240.125,44548,58625,['tcp']
10.22.25.81,10.10.240.99,46962,8086,"['tcp', 'http']"
10.22.16.33,10.10.240.125,45280,58625,['tcp']
10.22.16.33,10.10.240.125,34758,48533,['tcp']
10.22.16.33,10.10.240.125,45282,58625,['tcp']
10.22.16.33,10.10.240.125,45292,58625,['tcp']
10.22.16.33,10.10.240.125,46032,48533,['tcp']
10.22.16.33,10.10.240.125,45436,58625,['tcp']
10.22.16.33,10.10.240.125,44712,58625,['tcp']
10.22.16.33,10.10.240.125,37436,48533,['tcp']
10.22.16.33,10.10.240.125,46552,58625,['tcp']
10.22.16.33,10.10.240.125,49156,48533,['tcp']
10.22.16.33,10.10.240.125,42795,48533,['tcp']
10.22.16.33,10.10.240.125,46558,58625,['tcp']
10.22.16.33,10.10.240.125,46562,58625,['tcp']
10.22.16.33,10.10.240.125,46574,58625,['tcp']
10.22.16.33,10.10.240.125,50974,48533,['tcp']
10.22.16.33,10.10.240.125,46596,58625,['tcp']
10.22.16.33,10.10.240.125,46598,58625,['tcp']
10.22.16.33,10.10.240.125,56606,48533,['tcp']
10.22.16.33,10.10.240.125,46600,58625,['tcp']
10.22.25.81,10.10.240.99,47144,8086,"['tcp', 'http']"
10.22.16.100,10.10.240.99,55066,10050,['tcp']
10.22.16.33,10.10.240.125,36561,48533,['tcp']
10.22.16.33,10.10.240.125,46620,58625,['tcp']
10.22.16.131,10.10.240.104,57350,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,46514,58625,['tcp']
10.22.16.33,10.10.240.125,35508,48533,['tcp']
10.22.16.33,10.10.240.125,46516,58625,['tcp']
10.22.16.33,10.10.240.125,46526,58625,['tcp']
10.22.16.33,10.10.240.125,53978,48533,['tcp']
10.22.16.33,10.10.240.125,46532,58625,['tcp']
10.22.16.33,10.10.240.125,46534,58625,['tcp']
10.22.16.33,10.10.240.125,47596,48533,['tcp']
10.22.16.33,10.10.240.125,46536,58625,['tcp']
10.22.16.33,10.10.240.125,46540,58625,['tcp']
10.22.16.33,10.10.240.125,57974,48533,['tcp']
10.22.16.33,10.10.240.125,46544,58625,['tcp']
10.22.16.33,10.10.240.125,57792,48533,['tcp']
10.22.16.33,10.10.240.125,46550,58625,['tcp']
10.22.16.75,10.10.240.104,43278,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,46390,58625,['tcp']
10.22.16.131,10.10.240.104,54932,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,39332,48533,['tcp']
10.22.16.33,10.10.240.125,46392,58625,['tcp']
10.22.16.33,10.10.240.125,46396,58625,['tcp']
10.22.16.33,10.10.240.125,39070,48533,['tcp']
10.22.16.33,10.10.240.125,46398,58625,['tcp']
10.22.16.237,10.10.240.104,51958,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,46400,58625,['tcp']
10.22.16.33,10.10.240.125,43232,48533,['tcp']
10.22.16.33,10.10.240.125,46402,58625,['tcp']
10.22.16.33,10.10.240.125,46404,58625,['tcp']
10.22.16.33,10.10.240.125,60315,48533,['tcp']
10.22.16.33,10.10.240.125,46406,58625,['tcp']
10.22.16.33,10.10.240.125,41796,48533,['tcp']
10.22.16.33,10.10.240.125,46408,58625,['tcp']
10.22.16.33,10.10.240.125,46414,58625,['tcp']
10.22.16.33,10.10.240.125,46622,58625,['tcp']
10.22.16.33,10.10.240.125,58444,48533,['tcp']
10.22.16.33,10.10.240.125,46624,58625,['tcp']
10.22.16.33,10.10.240.125,46626,58625,['tcp']
10.22.16.33,10.10.240.125,60140,48533,['tcp']
10.22.16.33,10.10.240.125,46628,58625,['tcp']
10.22.16.237,10.10.240.104,54266,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,46630,58625,['tcp']
10.22.16.33,10.10.240.125,58616,48533,['tcp']
10.22.16.33,10.10.240.125,46632,58625,['tcp']
10.22.16.33,10.10.240.125,46636,58625,['tcp']
10.22.16.33,10.10.240.125,46642,58625,['tcp']
10.22.16.33,10.10.240.124,33104,2181,['tcp']
10.22.16.33,10.10.240.123,57266,2181,['tcp']
10.22.16.33,10.10.240.125,43860,2181,['tcp']
10.22.16.10,10.10.240.254,0,0,['icmp']
10.22.16.33,10.10.240.125,46422,58625,['tcp']
10.22.16.33,10.10.240.125,46424,58625,['tcp']
10.22.16.33,10.10.240.125,53382,48533,['tcp']
10.22.16.33,10.10.240.125,46426,58625,['tcp']
10.22.16.33,10.10.240.125,46428,58625,['tcp']
10.22.16.33,10.10.240.125,52293,48533,['tcp']
10.22.16.33,10.10.240.125,46434,58625,['tcp']
10.22.16.33,10.10.240.125,46438,58625,['tcp']
10.22.16.33,10.10.240.125,51341,48533,['tcp']
10.22.16.33,10.10.240.125,46452,58625,['tcp']
10.22.16.33,10.10.240.125,46458,58625,['tcp']
10.22.16.33,10.10.240.125,46486,58625,['tcp']
10.22.16.33,10.10.240.125,53375,48533,['tcp']
10.22.16.33,10.10.240.125,46488,58625,['tcp']
10.22.16.237,10.10.240.104,59858,12834,"['tcp', 'http2']"
10.22.16.33,10.10.240.125,46490,58625,['tcp']
