srcIp,dstIp,srcPort,dstPort,protocol
10.22.16.2,10.10.242.11,50293,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,57280,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50670,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,50494,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52544,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,52542,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52378,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,52412,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52339,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,55730,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52726,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,51869,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51257,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,51303,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,51251,49156,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,51249,135,"['dcerpc', 'tcp']"
10.22.16.2,10.10.242.11,50428,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51212,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,57943,53,"['udp', 'dns']"
10.22.16.2,10.10.242.11,58443,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52319,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53640,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,49684,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52887,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,51832,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64734,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53424,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56871,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,54017,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52600,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,54183,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,53818,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64222,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50165,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51748,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64222,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,54573,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,54676,88,"['tcp', 'krb5']"
10.22.16.2,10.10.242.11,54758,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,53125,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,54370,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,55319,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,55866,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57050,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,56417,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,54176,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52363,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57500,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,56774,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56369,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57127,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,57295,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,52149,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,57657,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,56936,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,59074,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,54505,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,50380,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51773,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,51061,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,58345,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64222,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,58562,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,51815,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,58021,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,60611,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,50568,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,64220,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,60090,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,64221,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,61316,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,57805,389,"['ldap', 'udp']"
10.22.16.2,10.10.242.11,61471,389,['tcp']
10.22.16.2,10.10.242.11,61628,389,"['ldap', 'tcp']"
10.22.16.2,10.10.242.11,52226,389,"['ldap', 'udp']"
