srcIp,dstIp,srcPort,dstPort,protocol
10.23.18.80,10.10.240.99,43924,19092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,55004,12834,['tcp']
10.23.18.80,10.10.240.99,43924,19092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,54934,12834,['tcp']
10.23.18.80,10.10.240.179,54810,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,54616,12834,['tcp']
10.23.18.80,10.10.240.179,54744,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,43924,19092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,54546,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,55190,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,55260,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,54870,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,56292,12834,['tcp']
10.23.18.80,10.10.240.99,43924,19092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,56092,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,56222,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,43924,19092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,56420,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,56158,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.99,43924,19092,"['kafka', 'tcp']"
10.23.18.80,10.10.240.179,55570,12834,['tcp']
10.23.18.80,10.10.240.179,55506,12834,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,55132,12834,['tcp']
10.23.18.80,10.10.240.99,38974,2379,"['tcp', 'http2']"
10.23.18.80,10.10.240.179,55068,12834,['tcp']
